Time S I R
0 999 1 0 
0 998.98 1.00998 0.0100998 
0.1 998.96 1.02006 0.0203004 
0.2 998.939 1.03024 0.0306028 
0.3 998.919 1.04052 0.0410079 
0.4 998.898 1.0509 0.0515169 
0.5 998.877 1.06139 0.0621308 
0.6 998.856 1.07197 0.0728505 
0.7 998.834 1.08267 0.0836772 
0.8 998.813 1.09347 0.0946119 
0.9 998.791 1.10438 0.105656 
1 998.769 1.1154 0.11681 
1.1 998.747 1.12652 0.128075 
1.2 998.724 1.13776 0.139452 
1.3 998.701 1.14911 0.150944 
1.4 998.678 1.16057 0.162549 
1.5 998.655 1.17214 0.174271 
1.6 998.632 1.18383 0.186109 
1.7 998.608 1.19564 0.198065 
1.8 998.584 1.20756 0.210141 
1.9 998.56 1.2196 0.222337 
2 998.536 1.23176 0.234654 
2.1 998.511 1.24404 0.247095 
2.2 998.486 1.25644 0.259659 
2.3 998.461 1.26897 0.272349 
2.4 998.436 1.28162 0.285165 
2.5 998.41 1.29439 0.298109 
2.6 998.385 1.3073 0.311182 
2.7 998.358 1.32033 0.324385 
2.8 998.332 1.33349 0.33772 
2.9 998.305 1.34678 0.351188 
3 998.279 1.3602 0.36479 
3.1 998.251 1.37375 0.378527 
3.2 998.224 1.38744 0.392402 
3.3 998.196 1.40126 0.406414 
3.4 998.168 1.41523 0.420567 
3.5 998.14 1.42932 0.43486 
3.6 998.112 1.44356 0.449296 
3.7 998.083 1.45794 0.463875 
3.8 998.054 1.47247 0.4786 
3.9 998.024 1.48713 0.493471 
4 997.995 1.50195 0.50849 
4.1 997.965 1.5169 0.523659 
4.2 997.934 1.53201 0.53898 
4.3 997.904 1.54727 0.554452 
4.4 997.873 1.56267 0.570079 
4.5 997.842 1.57823 0.585861 
4.6 997.81 1.59395 0.601801 
4.7 997.778 1.60981 0.617899 
4.8 997.746 1.62584 0.634157 
4.9 997.714 1.64202 0.650577 
5 997.681 1.65837 0.667161 
5.1 997.648 1.67487 0.68391 
5.2 997.615 1.69154 0.700825 
5.3 997.581 1.70838 0.717909 
5.4 997.547 1.72538 0.735163 
5.5 997.512 1.74254 0.752588 
5.6 997.477 1.75988 0.770187 
5.7 997.442 1.77739 0.787961 
5.8 997.407 1.79507 0.805912 
5.9 997.371 1.81293 0.824041 
6 997.335 1.83096 0.842351 
6.1 997.298 1.84917 0.860842 
6.2 997.262 1.86756 0.879518 
6.3 997.224 1.88613 0.898379 
6.4 997.187 1.90489 0.917428 
6.5 997.149 1.92383 0.936666 
6.6 997.11 1.94296 0.956096 
6.7 997.072 1.96227 0.975719 
6.8 997.032 1.98178 0.995536 
6.9 996.993 2.00148 1.01555 
7 996.953 2.02137 1.03576 
7.1 996.913 2.04146 1.05618 
7.2 996.872 2.06175 1.0768 
7.3 996.831 2.08223 1.09762 
7.4 996.789 2.10292 1.11865 
7.5 996.747 2.12381 1.13989 
7.6 996.705 2.14491 1.16134 
7.7 996.662 2.16622 1.183 
7.8 996.619 2.18773 1.20488 
7.9 996.576 2.20946 1.22697 
8 996.532 2.2314 1.24928 
8.1 996.487 2.25356 1.27182 
8.2 996.442 2.27593 1.29458 
8.3 996.397 2.29853 1.31756 
8.4 996.351 2.32135 1.34078 
8.5 996.305 2.34439 1.36422 
8.6 996.258 2.36766 1.3879 
8.7 996.211 2.39115 1.41181 
8.8 996.163 2.41488 1.43596 
8.9 996.115 2.43884 1.46035 
9 996.067 2.46304 1.48498 
9.1 996.017 2.48747 1.50985 
9.2 995.968 2.51215 1.53497 
9.3 995.918 2.53706 1.56034 
9.4 995.867 2.56223 1.58597 
9.5 995.816 2.58763 1.61184 
9.6 995.765 2.61329 1.63798 
9.7 995.713 2.6392 1.66437 
9.8 995.66 2.66536 1.69102 
9.9 995.607 2.69178 1.71794 
10 995.553 2.71846 1.74512 
10.1 995.499 2.7454 1.77258 
10.2 995.445 2.7726 1.8003 
10.3 995.389 2.80007 1.8283 
10.4 995.334 2.82781 1.85658 
10.5 995.277 2.85583 1.88514 
10.6 995.221 2.88411 1.91398 
10.7 995.163 2.91267 1.94311 
10.8 995.105 2.94151 1.97252 
10.9 995.047 2.97064 2.00223 
11 994.988 3.00005 2.03223 
11.1 994.928 3.02974 2.06253 
11.2 994.868 3.05973 2.09313 
11.3 994.807 3.09001 2.12403 
11.4 994.745 3.12058 2.15523 
11.5 994.683 3.15146 2.18675 
11.6 994.62 3.18263 2.21857 
11.7 994.557 3.21411 2.25071 
11.8 994.493 3.2459 2.28317 
11.9 994.429 3.278 2.31595 
12 994.363 3.31041 2.34906 
12.1 994.298 3.34313 2.38249 
12.2 994.231 3.37618 2.41625 
12.3 994.164 3.40955 2.45034 
12.4 994.096 3.44324 2.48478 
12.5 994.028 3.47726 2.51955 
12.6 993.959 3.51161 2.55467 
12.7 993.889 3.5463 2.59013 
12.8 993.818 3.58133 2.62594 
12.9 993.747 3.61669 2.66211 
13 993.675 3.6524 2.69863 
13.1 993.603 3.68846 2.73552 
13.2 993.529 3.72486 2.77277 
13.3 993.455 3.76163 2.81038 
13.4 993.381 3.79874 2.84837 
13.5 993.305 3.83622 2.88673 
13.6 993.229 3.87407 2.92547 
13.7 993.152 3.91228 2.9646 
13.8 993.074 3.95086 3.0041 
13.9 992.996 3.98981 3.044 
14 992.917 4.02914 3.08429 
14.1 992.837 4.06886 3.12498 
14.2 992.756 4.10896 3.16607 
14.3 992.674 4.14945 3.20757 
14.4 992.592 4.19032 3.24947 
14.5 992.509 4.2316 3.29179 
14.6 992.425 4.27328 3.33452 
14.7 992.34 4.31535 3.37767 
14.8 992.254 4.35784 3.42125 
14.9 992.168 4.40073 3.46526 
15 992.08 4.44404 3.5097 
15.1 991.992 4.48777 3.55458 
15.2 991.903 4.53192 3.5999 
15.3 991.813 4.5765 3.64566 
15.4 991.722 4.62151 3.69188 
15.5 991.631 4.66695 3.73854 
15.6 991.538 4.71283 3.78567 
15.7 991.445 4.75915 3.83326 
15.8 991.35 4.80592 3.88132 
