Time S I R
0 699 1 300 
0 698.986 1.00398 300.01 
0.1 698.972 1.00797 300.02 
0.2 698.958 1.01199 300.03 
0.3 698.944 1.01601 300.04 
0.4 698.93 1.02005 300.051 
0.5 698.915 1.02411 300.061 
0.6 698.901 1.02819 300.071 
0.7 698.887 1.03228 300.081 
0.8 698.872 1.03638 300.092 
0.9 698.858 1.0405 300.102 
1 698.843 1.04464 300.113 
1.1 698.829 1.0488 300.123 
1.2 698.814 1.05297 300.134 
1.3 698.799 1.05715 300.144 
1.4 698.784 1.06136 300.155 
1.5 698.77 1.06558 300.166 
1.6 698.755 1.06981 300.176 
1.7 698.74 1.07406 300.187 
1.8 698.725 1.07833 300.198 
1.9 698.71 1.08262 300.209 
2 698.695 1.08692 300.219 
2.1 698.679 1.09124 300.23 
2.2 698.664 1.09557 300.241 
2.3 698.649 1.09993 300.252 
2.4 698.633 1.1043 300.263 
2.5 698.618 1.10868 300.274 
2.6 698.602 1.11309 300.286 
2.7 698.587 1.11751 300.297 
2.8 698.571 1.12195 300.308 
2.9 698.556 1.1264 300.319 
3 698.54 1.13087 300.331 
3.1 698.524 1.13536 300.342 
3.2 698.508 1.13987 300.353 
3.3 698.492 1.1444 300.365 
3.4 698.476 1.14894 300.376 
3.5 698.46 1.1535 300.388 
3.6 698.444 1.15808 300.399 
3.7 698.428 1.16267 300.411 
3.8 698.412 1.16729 300.423 
3.9 698.395 1.17192 300.434 
4 698.379 1.17657 300.446 
4.1 698.363 1.18124 300.458 
4.2 698.346 1.18592 300.47 
4.3 698.33 1.19063 300.482 
4.4 698.313 1.19535 300.494 
4.5 698.296 1.20009 300.506 
4.6 698.279 1.20485 300.518 
4.7 698.263 1.20963 300.53 
4.8 698.246 1.21442 300.542 
4.9 698.229 1.21924 300.554 
5 698.212 1.22407 300.566 
5.1 698.195 1.22892 300.579 
5.2 698.178 1.23379 300.591 
5.3 698.16 1.23868 300.603 
5.4 698.143 1.24359 300.616 
5.5 698.126 1.24852 300.628 
5.6 698.108 1.25347 300.641 
5.7 698.091 1.25843 300.653 
5.8 698.073 1.26342 300.666 
5.9 698.055 1.26842 300.679 
6 698.038 1.27345 300.691 
6.1 698.02 1.27849 300.704 
6.2 698.002 1.28355 300.717 
6.3 697.984 1.28864 300.73 
6.4 697.966 1.29374 300.743 
6.5 697.948 1.29886 300.756 
6.6 697.93 1.304 300.769 
6.7 697.912 1.30916 300.782 
6.8 697.894 1.31434 300.795 
6.9 697.875 1.31955 300.808 
7 697.857 1.32477 300.822 
7.1 697.838 1.33001 300.835 
7.2 697.82 1.33527 300.848 
7.3 697.801 1.34055 300.862 
7.4 697.782 1.34586 300.875 
7.5 697.764 1.35118 300.889 
7.6 697.745 1.35652 300.902 
7.7 697.726 1.36189 300.916 
7.8 697.707 1.36727 300.93 
7.9 697.688 1.37268 300.943 
8 697.669 1.37811 300.957 
8.1 697.649 1.38355 300.971 
8.2 697.63 1.38902 300.985 
8.3 697.611 1.39451 300.999 
8.4 697.591 1.40002 301.013 
8.5 697.572 1.40555 301.027 
8.6 697.552 1.41111 301.041 
8.7 697.532 1.41668 301.055 
8.8 697.513 1.42228 301.069 
8.9 697.493 1.4279 301.084 
9 697.473 1.43354 301.098 
9.1 697.453 1.4392 301.112 
9.2 697.433 1.44488 301.127 
9.3 697.413 1.45058 301.141 
9.4 697.392 1.45631 301.156 
9.5 697.372 1.46206 301.17 
9.6 697.352 1.46783 301.185 
9.7 697.331 1.47362 301.2 
9.8 697.311 1.47944 301.215 
9.9 697.29 1.48528 301.229 
10 697.269 1.49114 301.244 
10.1 697.249 1.49702 301.259 
10.2 697.228 1.50292 301.274 
10.3 697.207 1.50885 301.289 
10.4 697.186 1.5148 301.305 
10.5 697.165 1.52078 301.32 
10.6 697.143 1.52677 301.335 
10.7 697.122 1.53279 301.35 
10.8 697.101 1.53883 301.366 
10.9 697.079 1.5449 301.381 
11 697.058 1.55099 301.397 
11.1 697.036 1.5571 301.412 
